funcionario;status;idade;prim_emp;teste;educ
X1706;bom;maior45;nao;79;superior
X1707;bom;25a45;sim;72;secundario
X1708;bom;25a45;nao;92;secundario
X1709;bom;menor25;sim;97;secundario
X1710;bom;25a45;nao;94;secundario
X1711;bom;25a45;nao;81;superior
X1712;bom;25a45;sim;75;secundario
X1713;bom;25a45;sim;80;secundario
X1714;bom;menor25;nao;98;secundario
X1715;bom;25a45;sim;62;secundario
X1716;bom;25a45;nao;83;superior
X1717;bom;25a45;nao;93;secundario
X1718;bom;maior45;nao;72;superior
X1719;bom;maior45;nao;97;secundario
X1720;bom;maior45;nao;67;secundario
X1721;bom;25a45;sim;71;secundario
X1722;bom;25a45;nao;83;secundario
X1723;bom;menor25;nao;99;secundario
X1724;bom;maior45;nao;68;secundario
X1725;bom;menor25;nao;95;secundario
X1726;bom;menor25;nao;99;secundario
X1727;bom;menor25;nao;96;secundario
X1728;bom;25a45;nao;72;secundario
X1729;bom;menor25;sim;94;secundario
X1730;bom;25a45;nao;80;superior
X1731;bom;25a45;nao;78;secundario
X1732;bom;maior45;nao;72;secundario
X1733;bom;25a45;sim;76;secundario
X1734;bom;25a45;sim;78;secundario
X1735;bom;menor25;nao;97;secundario
X1736;bom;menor25;sim;94;secundario
X1737;bom;25a45;nao;63;secundario
X1738;bom;25a45;nao;99;secundario
X1739;bom;maior45;nao;59;secundario
X1740;bom;maior45;sim;68;secundario
X1741;bom;menor25;sim;94;secundario
X1742;bom;25a45;sim;80;secundario
X1743;bom;25a45;sim;98;secundario
X1744;bom;menor25;nao;77;secundario
X1745;bom;25a45;nao;94;secundario
X1746;bom;maior45;sim;77;secundario
X1747;bom;25a45;nao;80;secundario
X1748;bom;maior45;sim;84;secundario
X1749;bom;25a45;nao;88;superior
X1750;bom;maior45;sim;81;secundario
X1751;bom;25a45;nao;44;superior
X1752;bom;menor25;nao;98;superior
X1753;bom;25a45;sim;65;secundario
X1754;bom;25a45;nao;81;secundario
X1755;bom;25a45;nao;80;secundario
X1756;bom;25a45;nao;72;secundario
X1757;bom;maior45;sim;73;secundario
X1758;bom;maior45;nao;71;secundario
X1759;bom;25a45;nao;55;secundario
X1760;bom;25a45;nao;73;superior
X1761;bom;25a45;nao;78;secundario
X1762;bom;25a45;nao;79;secundario
X1763;bom;25a45;nao;98;secundario
X1764;bom;maior45;sim;51;superior
X1765;bom;25a45;sim;89;secundario
X1766;bom;maior45;nao;79;secundario
X1767;bom;25a45;sim;79;superior
X1768;bom;25a45;sim;78;superior
X1769;bom;25a45;nao;85;secundario
X1770;bom;maior45;nao;75;secundario
X1771;bom;maior45;sim;80;secundario
X1772;bom;menor25;nao;95;superior
X1773;bom;25a45;nao;73;secundario
X1774;bom;maior45;nao;56;secundario
X1775;bom;25a45;nao;78;secundario
X1776;bom;maior45;sim;46;secundario
X1777;bom;maior45;sim;68;secundario
X1778;bom;25a45;nao;80;superior
X1779;bom;25a45;nao;77;secundario
X1780;bom;maior45;nao;67;secundario
X1781;bom;maior45;sim;80;secundario
X1782;bom;25a45;sim;78;secundario
X1783;bom;25a45;sim;83;secundario
X1784;bom;25a45;nao;88;secundario
X1785;bom;25a45;sim;92;superior
X1786;bom;maior45;sim;58;secundario
X1787;bom;maior45;sim;71;superior
X1788;bom;25a45;nao;74;secundario
X1789;bom;25a45;sim;89;secundario
X1790;bom;maior45;sim;80;superior
X1791;bom;25a45;sim;83;superior
X1792;bom;maior45;nao;91;superior
X1793;bom;25a45;nao;74;secundario
X1794;bom;25a45;nao;78;secundario
X1795;bom;maior45;nao;56;secundario
X1796;bom;menor25;nao;99;superior
X1797;bom;25a45;sim;95;secundario
X1798;bom;25a45;nao;93;superior
X1799;bom;25a45;sim;77;secundario
X1800;bom;maior45;nao;69;secundario
X1801;bom;25a45;nao;97;secundario
X1802;bom;maior45;sim;65;superior
X1803;bom;25a45;sim;96;secundario
X1804;bom;25a45;sim;62;secundario
X1805;bom;maior45;nao;45;secundario
X1806;bom;maior45;nao;53;superior
X1807;bom;maior45;nao;73;secundario
X1808;bom;25a45;sim;75;secundario
X1809;bom;25a45;nao;90;secundario
X1810;bom;25a45;nao;87;secundario
X1811;bom;maior45;nao;76;secundario
X1812;bom;maior45;sim;72;secundario
X1813;bom;maior45;nao;78;superior
X1814;bom;maior45;nao;68;secundario
X1815;bom;25a45;nao;58;secundario
X1816;bom;25a45;nao;68;secundario
X1817;bom;menor25;sim;80;secundario
X1818;bom;25a45;nao;89;secundario
X1819;bom;maior45;nao;43;secundario
X1820;bom;25a45;nao;99;superior
X1821;bom;25a45;sim;77;secundario
X1822;bom;maior45;nao;56;secundario
X1823;bom;maior45;sim;77;secundario
X1824;bom;25a45;nao;89;secundario
X1825;bom;menor25;sim;99;secundario
X1826;bom;maior45;nao;58;secundario
X1827;bom;25a45;sim;77;superior
X1828;bom;maior45;nao;80;superior
X1829;bom;25a45;sim;87;secundario
X1830;bom;25a45;nao;78;secundario
X1831;bom;maior45;sim;75;secundario
X1832;bom;maior45;nao;48;superior
X1833;bom;25a45;nao;89;secundario
X1834;bom;maior45;nao;71;superior
X1835;bom;maior45;nao;60;secundario
X1836;bom;25a45;sim;95;secundario
X1837;bom;25a45;nao;80;secundario
X1838;bom;menor25;nao;97;secundario
X1839;bom;25a45;sim;74;secundario
X1840;bom;25a45;sim;74;secundario
X1841;bom;25a45;nao;79;secundario
X1842;bom;maior45;nao;71;secundario
X1843;bom;25a45;nao;79;superior
X1844;bom;maior45;nao;95;superior
X1845;bom;25a45;sim;93;secundario
X1846;bom;25a45;sim;65;secundario
X1847;bom;maior45;nao;47;secundario
X1848;bom;25a45;nao;65;secundario
X1849;bom;menor25;sim;94;superior
X1850;bom;maior45;nao;91;secundario
X1851;bom;maior45;sim;69;superior
X1852;bom;25a45;sim;77;secundario
X1853;bom;25a45;nao;85;superior
X1854;bom;maior45;sim;84;secundario
X1855;bom;maior45;nao;74;secundario
X1856;bom;menor25;nao;94;secundario
X1857;bom;25a45;nao;75;superior
X1858;bom;maior45;nao;79;secundario
X1859;bom;25a45;sim;89;secundario
X1860;bom;maior45;nao;30;secundario
X1861;bom;25a45;nao;69;secundario
X1862;bom;maior45;sim;58;secundario
X1863;bom;25a45;nao;79;secundario
X1864;bom;menor25;nao;96;secundario
X1865;bom;maior45;sim;77;secundario
X1866;bom;maior45;nao;71;secundario
X1867;bom;25a45;nao;80;secundario
X1868;bom;25a45;nao;89;secundario
X1869;bom;25a45;sim;95;secundario
X1870;bom;maior45;nao;83;secundario
X1871;bom;25a45;nao;79;secundario
X1872;bom;25a45;sim;57;superior
X1873;bom;maior45;nao;71;secundario
X1874;bom;25a45;nao;81;secundario
X1875;bom;menor25;nao;92;secundario
X1876;bom;menor25;nao;96;secundario
X1877;bom;maior45;nao;73;secundario
X1878;bom;menor25;nao;99;superior
X1879;bom;25a45;sim;68;secundario
X1880;bom;maior45;sim;73;secundario
X1881;bom;maior45;nao;76;secundario
X1882;bom;25a45;sim;88;superior
X1883;bom;maior45;nao;94;superior
X1884;bom;25a45;sim;79;secundario
X1885;bom;25a45;sim;75;secundario
X1886;bom;maior45;sim;77;secundario
X1887;bom;25a45;nao;79;secundario
X1888;bom;25a45;nao;98;secundario
X1889;bom;25a45;sim;56;secundario
X1890;bom;maior45;nao;32;superior
X1891;bom;25a45;nao;96;secundario
X1892;bom;25a45;nao;69;secundario
X1893;bom;25a45;nao;91;secundario
X1894;bom;25a45;nao;76;secundario
X1895;bom;25a45;sim;95;secundario
X1896;bom;menor25;nao;95;secundario
X1897;bom;maior45;sim;64;superior
X1898;bom;menor25;sim;99;secundario
X1899;bom;25a45;nao;73;secundario
X1900;bom;menor25;sim;98;secundario
X1901;bom;25a45;nao;88;secundario
X1902;bom;25a45;sim;96;secundario
X1903;bom;25a45;nao;68;secundario
X1904;bom;25a45;nao;89;secundario
X1905;bom;25a45;nao;91;secundario
X1906;bom;25a45;nao;93;secundario
X1907;bom;maior45;nao;66;superior
X1908;bom;maior45;nao;95;secundario
X1909;bom;25a45;sim;69;superior
X1910;bom;25a45;nao;76;secundario
X1911;bom;maior45;nao;54;secundario
X1912;bom;maior45;nao;77;secundario
X1913;bom;25a45;nao;79;secundario
X1914;bom;25a45;nao;57;superior
X1915;bom;25a45;sim;75;superior
X1916;bom;menor25;sim;97;secundario
X1917;bom;25a45;nao;82;secundario
X1918;bom;25a45;nao;95;secundario
X1919;bom;25a45;nao;90;secundario
X1920;bom;maior45;sim;81;secundario
X1921;bom;maior45;sim;77;secundario
X1922;bom;25a45;sim;98;secundario
X1923;bom;25a45;nao;84;superior
X1924;bom;25a45;nao;94;superior
X1925;bom;maior45;nao;35;secundario
X1926;bom;25a45;sim;83;superior
X1927;bom;25a45;nao;67;secundario
X1928;bom;25a45;nao;72;secundario
X1929;bom;menor25;sim;97;secundario
X1930;bom;maior45;nao;96;secundario
X1931;bom;maior45;nao;98;superior
X1932;bom;25a45;sim;86;secundario
X1933;bom;25a45;sim;97;secundario
X1934;bom;25a45;nao;77;secundario
X1935;bom;25a45;nao;43;secundario
X1936;bom;25a45;nao;91;secundario
X1937;bom;maior45;nao;75;superior
X1938;bom;maior45;nao;87;superior
X1939;bom;maior45;sim;57;secundario
X1940;bom;maior45;nao;78;secundario
X1941;bom;maior45;nao;48;superior
X1942;bom;25a45;nao;79;secundario
X1943;bom;maior45;sim;76;superior
X1944;bom;maior45;nao;57;secundario
X1945;bom;25a45;nao;83;secundario
X1946;bom;25a45;sim;91;secundario
X1947;bom;25a45;nao;99;secundario
X1948;bom;25a45;sim;63;secundario
X1949;bom;25a45;nao;72;secundario
X1950;bom;25a45;sim;96;superior
X1951;bom;25a45;sim;79;superior
X1952;bom;maior45;nao;37;secundario
X1953;bom;maior45;nao;59;secundario
X1954;bom;25a45;nao;80;superior
X1955;bom;maior45;sim;65;secundario
X1956;bom;menor25;nao;97;secundario
X1957;bom;25a45;sim;72;superior
X1958;bom;25a45;nao;83;secundario
X1959;bom;25a45;nao;94;superior
X1960;bom;maior45;sim;70;secundario
X1961;bom;maior45;nao;89;secundario
X1962;bom;25a45;nao;84;secundario
X1963;bom;25a45;nao;93;superior
X1964;bom;25a45;nao;90;secundario
X1965;bom;25a45;sim;94;secundario
X1966;bom;25a45;nao;72;superior
X1967;bom;maior45;nao;48;secundario
X1968;bom;maior45;sim;78;secundario
X1969;bom;maior45;sim;74;superior
X1970;bom;menor25;nao;99;secundario
X1971;bom;25a45;sim;77;secundario
X1972;bom;maior45;nao;78;superior
X1973;bom;25a45;nao;67;secundario
X1974;bom;maior45;nao;59;secundario
X1975;bom;25a45;nao;74;secundario
X1976;bom;25a45;sim;74;superior
X1977;bom;25a45;sim;79;secundario
X1978;bom;25a45;sim;71;secundario
X1979;bom;maior45;nao;98;secundario
X1980;bom;25a45;nao;81;secundario
X1981;bom;25a45;nao;60;superior
X1982;bom;menor25;sim;97;secundario
X1983;bom;maior45;nao;64;superior
X1984;bom;maior45;nao;77;secundario
X1985;bom;maior45;sim;57;secundario
X1986;bom;maior45;sim;75;secundario
X1987;bom;maior45;sim;55;secundario
X1988;bom;maior45;sim;74;secundario
X1989;bom;25a45;sim;78;superior
X1990;bom;25a45;nao;77;secundario
X1991;bom;25a45;sim;88;secundario
X1992;bom;menor25;sim;96;secundario
X1993;bom;25a45;nao;84;superior
X1994;bom;maior45;nao;97;secundario
X1995;bom;25a45;sim;67;secundario
X1996;bom;25a45;nao;80;secundario
X1997;bom;maior45;sim;64;superior
X1998;bom;25a45;sim;80;secundario
X1999;bom;menor25;sim;88;secundario
X2000;bom;25a45;nao;80;secundario
X2001;bom;maior45;nao;64;secundario
X2002;bom;25a45;nao;83;secundario
X2003;bom;maior45;nao;68;secundario
X2004;bom;maior45;nao;83;secundario
X2005;bom;25a45;nao;83;secundario
X2006;bom;25a45;sim;74;secundario
X2007;bom;25a45;nao;66;superior
X2008;bom;25a45;sim;84;secundario
X2009;bom;menor25;nao;90;secundario
X2010;bom;maior45;nao;75;secundario
X2011;bom;menor25;nao;87;secundario
X2012;bom;maior45;sim;75;superior
X2013;bom;25a45;nao;98;secundario
X2014;bom;25a45;nao;62;secundario
X2015;bom;25a45;sim;96;secundario
X2016;bom;25a45;nao;67;secundario
X2017;bom;25a45;nao;77;secundario
X2018;bom;25a45;sim;76;secundario
X2019;bom;maior45;sim;65;secundario
X2020;bom;maior45;nao;43;secundario
X2021;bom;25a45;nao;79;secundario
X2022;bom;25a45;sim;82;secundario
X2023;bom;25a45;nao;76;secundario
X2024;bom;maior45;sim;77;superior
X2025;bom;25a45;sim;79;secundario
X2026;bom;menor25;nao;97;secundario
X2027;bom;25a45;nao;86;secundario
X2028;bom;maior45;nao;50;secundario
X2029;bom;25a45;nao;79;secundario
X2030;bom;25a45;nao;66;secundario
X2031;bom;25a45;sim;80;secundario
X2032;bom;maior45;nao;68;secundario
X2033;bom;maior45;sim;57;secundario
X2034;bom;25a45;nao;94;secundario
X2035;bom;25a45;nao;84;secundario
X2036;bom;25a45;nao;93;superior
X2037;bom;25a45;sim;80;secundario
X2038;bom;25a45;nao;74;secundario
X2039;bom;25a45;sim;89;secundario
X2040;bom;maior45;nao;70;superior
X2041;bom;maior45;sim;67;superior
X2042;bom;25a45;nao;80;secundario
X2043;bom;25a45;nao;67;secundario
X2044;bom;25a45;nao;88;secundario
X2045;bom;maior45;nao;87;secundario
X2046;bom;menor25;nao;97;superior
X2047;bom;maior45;nao;96;secundario
X2048;bom;25a45;nao;58;secundario
X2049;bom;25a45;nao;77;secundario
X2050;bom;25a45;sim;75;secundario
X2051;bom;25a45;nao;81;secundario
X2052;bom;25a45;nao;68;secundario
X2053;bom;maior45;nao;72;superior
X2054;bom;maior45;nao;42;secundario
X2055;bom;25a45;sim;79;secundario
X2056;bom;maior45;sim;67;secundario
X2057;bom;maior45;nao;64;superior
X2058;bom;maior45;nao;94;secundario
X2059;bom;25a45;nao;90;secundario
X2060;bom;maior45;nao;64;secundario
X2061;bom;25a45;nao;98;superior
X2062;bom;maior45;sim;83;secundario
X2063;bom;25a45;nao;59;secundario
X2064;bom;maior45;sim;67;secundario
X2065;bom;25a45;nao;66;secundario
X2066;bom;25a45;nao;97;secundario
X2067;bom;25a45;sim;73;secundario
X2068;bom;menor25;sim;94;secundario
X2069;bom;maior45;sim;86;secundario
X2070;bom;25a45;nao;61;secundario
X2071;bom;25a45;nao;91;secundario
X2072;bom;maior45;nao;78;secundario
X2073;bom;maior45;sim;73;superior
X2074;bom;25a45;nao;67;secundario
X2075;bom;25a45;nao;96;secundario
X2076;bom;menor25;nao;98;secundario
X2077;bom;25a45;nao;79;secundario
X2078;bom;25a45;nao;78;secundario
X2079;bom;25a45;sim;93;secundario
X2080;bom;25a45;nao;78;secundario
X2081;bom;maior45;nao;87;superior
X2082;bom;maior45;sim;97;secundario
X2083;bom;maior45;nao;90;secundario
X2084;bom;25a45;sim;83;superior
X2085;bom;25a45;sim;95;secundario
X2086;bom;maior45;sim;76;secundario
X2087;bom;maior45;nao;47;superior
X2088;bom;25a45;nao;75;secundario
X2089;bom;maior45;nao;63;superior
X2090;bom;25a45;nao;93;secundario
X2091;bom;25a45;sim;72;secundario
X2092;bom;maior45;nao;56;secundario
X2093;bom;25a45;nao;65;secundario
X2094;bom;25a45;nao;99;secundario
X2095;bom;25a45;sim;97;superior
X2096;bom;maior45;sim;62;secundario
X2097;bom;25a45;nao;50;secundario
X2098;bom;25a45;nao;93;secundario
X2099;bom;menor25;nao;94;secundario
X2100;bom;maior45;sim;92;secundario
X2101;bom;25a45;nao;76;secundario
X2102;bom;25a45;nao;85;secundario
X2103;bom;25a45;sim;72;secundario
X2104;bom;maior45;nao;86;superior
X2105;bom;25a45;sim;76;secundario
X2106;bom;menor25;nao;99;secundario
X2107;bom;maior45;sim;78;secundario
X2108;bom;maior45;sim;70;secundario
X2109;bom;maior45;sim;91;secundario
X2110;bom;maior45;nao;64;secundario
X2111;bom;menor25;nao;95;secundario
X2112;bom;25a45;sim;90;secundario
X2113;bom;menor25;nao;98;secundario
X2114;bom;25a45;nao;84;superior
X2115;bom;25a45;nao;71;secundario
X2116;bom;maior45;nao;81;secundario
X2117;bom;25a45;sim;66;secundario
X2118;bom;25a45;sim;96;secundario
X2119;bom;25a45;nao;79;secundario
X2120;bom;25a45;sim;67;secundario
X2121;bom;menor25;nao;97;secundario
X2122;bom;25a45;sim;82;secundario
X2123;bom;menor25;nao;87;superior
X2124;bom;menor25;sim;95;secundario
X2125;bom;25a45;nao;83;secundario
X2126;bom;25a45;nao;79;secundario
X2127;bom;25a45;nao;80;superior
X2128;bom;25a45;nao;65;secundario
X2129;bom;25a45;nao;71;secundario
X2130;bom;25a45;nao;95;superior
X2131;bom;25a45;nao;83;secundario
X2132;bom;menor25;sim;93;secundario
X2133;bom;menor25;nao;97;secundario
X2134;bom;25a45;nao;82;secundario
X2135;bom;25a45;sim;71;secundario
X2136;bom;25a45;nao;77;secundario
X2137;bom;25a45;sim;74;secundario
X2138;bom;25a45;nao;80;secundario
X2139;bom;maior45;sim;77;secundario
X2140;bom;25a45;sim;78;superior
X2141;bom;25a45;sim;80;secundario
X2142;bom;25a45;nao;97;secundario
X2143;bom;25a45;sim;76;secundario
X2144;bom;25a45;nao;67;secundario
X2145;bom;maior45;nao;85;superior
X2146;bom;25a45;sim;78;secundario
X2147;bom;25a45;nao;98;secundario
X2148;bom;25a45;nao;73;superior
X2149;bom;25a45;nao;81;secundario
X2150;bom;maior45;sim;68;secundario
X2151;bom;maior45;nao;80;secundario
X2152;bom;25a45;sim;76;secundario
X2153;bom;maior45;sim;77;secundario
X2154;bom;menor25;nao;91;secundario
X2155;bom;25a45;sim;72;secundario
X2156;bom;25a45;nao;89;secundario
X2157;bom;25a45;nao;61;secundario
X2158;bom;25a45;sim;85;secundario
X2159;bom;maior45;sim;72;secundario
X2160;bom;25a45;sim;89;secundario
X2161;bom;25a45;nao;74;secundario
X2162;bom;25a45;sim;71;secundario
X2163;bom;25a45;sim;79;secundario
X2164;bom;25a45;nao;75;secundario
X2165;bom;25a45;sim;88;secundario
X2166;bom;25a45;sim;83;secundario
X2167;bom;25a45;nao;64;secundario
X2168;bom;25a45;nao;70;secundario
X2169;bom;25a45;sim;80;secundario
X2170;bom;25a45;sim;77;secundario
X2171;bom;maior45;sim;82;secundario
X2172;bom;maior45;nao;61;secundario
X2173;bom;25a45;nao;81;superior
X2174;bom;maior45;nao;83;secundario
X2175;bom;maior45;nao;78;secundario
X2176;bom;25a45;sim;94;secundario
X2177;bom;maior45;sim;65;superior
X2178;bom;25a45;sim;78;superior
X2179;bom;maior45;sim;53;secundario
X2180;bom;25a45;sim;85;superior
X2181;bom;25a45;nao;95;secundario
X2182;bom;25a45;nao;62;secundario
X2183;bom;menor25;nao;95;secundario
X2184;bom;maior45;sim;61;superior
X2185;bom;25a45;sim;76;superior
X2186;bom;25a45;nao;68;superior
X2187;bom;25a45;nao;90;superior
X2188;bom;menor25;nao;98;secundario
X2189;bom;25a45;sim;65;secundario
X2190;bom;maior45;nao;93;secundario
X2191;bom;maior45;nao;71;secundario
X2192;bom;25a45;nao;85;secundario
X2193;bom;maior45;nao;76;secundario
X2194;bom;maior45;nao;79;superior
X2195;bom;25a45;sim;65;secundario
X2196;bom;25a45;sim;85;secundario
X2197;bom;25a45;nao;69;secundario
X2198;bom;25a45;sim;80;secundario
X2199;bom;25a45;nao;78;superior
X2200;bom;25a45;sim;58;secundario
X2201;bom;25a45;sim;55;secundario
X2202;bom;maior45;sim;80;secundario
X2203;bom;menor25;sim;93;secundario
X2204;bom;25a45;sim;73;secundario
X2205;bom;maior45;nao;74;secundario
X2206;bom;25a45;nao;85;secundario
X2207;bom;25a45;nao;98;secundario
X2208;bom;25a45;nao;76;superior
X2209;bom;maior45;sim;85;superior
X2210;bom;25a45;sim;91;secundario
X2211;bom;maior45;nao;55;superior
X2212;bom;25a45;nao;76;secundario
X2213;bom;menor25;nao;97;secundario
X2214;bom;maior45;nao;75;secundario
X2215;bom;25a45;sim;64;secundario
X2216;bom;25a45;nao;62;secundario
X2217;bom;25a45;nao;68;secundario
X2218;bom;25a45;nao;89;superior
X2219;bom;maior45;nao;66;superior
X2220;bom;25a45;sim;87;secundario
X2221;bom;25a45;sim;74;superior
X2222;bom;25a45;nao;83;secundario
X2223;bom;maior45;nao;79;secundario
X2224;bom;25a45;nao;96;secundario
X2225;bom;25a45;sim;69;secundario
X2226;bom;menor25;nao;99;secundario
X2227;bom;maior45;nao;80;secundario
X2228;bom;maior45;sim;78;secundario
X2229;bom;maior45;sim;92;superior
X2230;bom;25a45;nao;84;secundario
X2231;bom;25a45;nao;79;secundario
X2232;bom;25a45;sim;89;secundario
X2233;bom;maior45;nao;71;secundario
X2234;bom;menor25;nao;93;secundario
X2235;bom;maior45;nao;63;superior
X2236;bom;25a45;sim;61;secundario
X2237;bom;menor25;sim;89;secundario
X2238;bom;25a45;sim;77;superior
X2239;bom;maior45;sim;76;superior
X2240;bom;25a45;nao;97;secundario
X2241;bom;maior45;sim;58;secundario
X2242;bom;maior45;sim;92;secundario
X2243;bom;maior45;nao;83;secundario
X2244;bom;25a45;nao;68;secundario
X2245;bom;25a45;nao;86;secundario
X2246;bom;maior45;sim;70;secundario
X2247;bom;maior45;sim;80;secundario
X2248;bom;25a45;sim;87;secundario
X2249;bom;menor25;nao;93;secundario
X2250;bom;25a45;sim;98;secundario
X2251;bom;maior45;nao;65;secundario
X2252;bom;maior45;nao;80;secundario
X2253;bom;maior45;sim;89;secundario
X2254;bom;25a45;sim;97;secundario
X2255;bom;25a45;sim;73;superior
X2256;bom;25a45;nao;84;secundario
X2257;bom;25a45;sim;84;secundario
X2258;bom;25a45;sim;79;secundario
X2259;bom;25a45;nao;91;secundario
X2260;bom;25a45;nao;80;secundario
X2261;bom;25a45;sim;88;secundario
X2262;bom;maior45;sim;80;secundario
X2263;bom;25a45;sim;92;superior
X2264;bom;25a45;nao;79;superior
X2265;bom;25a45;nao;88;superior
X2266;bom;maior45;nao;64;superior
X2267;bom;25a45;sim;80;secundario
X2268;bom;menor25;nao;95;secundario
X2269;bom;25a45;sim;77;secundario
X2270;bom;maior45;nao;76;superior
X2271;bom;25a45;nao;67;superior
X2272;bom;25a45;nao;84;secundario
X2273;bom;maior45;nao;87;superior
X2274;bom;menor25;sim;99;secundario
X2275;bom;maior45;sim;61;secundario
X2276;bom;maior45;sim;58;secundario
X2277;bom;25a45;sim;95;secundario
X2278;bom;25a45;sim;81;secundario
X2279;bom;25a45;nao;80;secundario
X2280;bom;maior45;nao;74;secundario
X2281;bom;25a45;nao;77;secundario
X2282;bom;25a45;sim;81;secundario
X2283;bom;maior45;nao;81;secundario
X2284;bom;maior45;sim;85;secundario
X2285;bom;25a45;sim;95;secundario
X2286;bom;25a45;nao;65;secundario
X2287;bom;maior45;nao;70;secundario
X2288;bom;maior45;nao;75;secundario
X2289;bom;25a45;nao;95;secundario
X2290;bom;menor25;nao;94;secundario
X2291;bom;25a45;sim;97;secundario
X2292;bom;menor25;sim;99;secundario
X2293;bom;maior45;sim;78;superior
X2294;bom;25a45;nao;75;secundario
X2295;bom;maior45;nao;62;superior
X2296;bom;maior45;sim;70;superior
X2297;bom;25a45;sim;94;secundario
X2298;bom;25a45;sim;80;superior
X2299;bom;25a45;sim;78;secundario
X2300;bom;maior45;sim;76;secundario
X2301;bom;25a45;sim;85;superior
X2302;bom;25a45;nao;80;secundario
X2303;bom;25a45;sim;70;secundario
X2304;bom;maior45;sim;44;secundario
X2305;bom;menor25;sim;94;secundario
X2306;bom;25a45;sim;64;secundario
X2307;bom;25a45;sim;88;secundario
X2308;bom;maior45;nao;67;secundario
X2309;bom;25a45;nao;87;superior
X2310;bom;25a45;nao;89;secundario
X2311;bom;25a45;nao;88;secundario
X2312;bom;maior45;nao;48;superior
X2313;bom;25a45;nao;98;secundario
X2314;bom;25a45;nao;72;secundario
X2315;bom;menor25;sim;98;secundario
X2316;bom;25a45;nao;94;secundario
X2317;bom;maior45;nao;81;superior
X2318;bom;maior45;nao;72;secundario
X2319;bom;maior45;sim;62;secundario
X2320;bom;25a45;nao;79;secundario
X2321;bom;25a45;nao;74;superior
X2322;bom;25a45;nao;96;superior
X2323;bom;maior45;nao;80;secundario
X2324;bom;25a45;nao;78;secundario
X2325;bom;maior45;nao;50;secundario
X2326;bom;25a45;sim;77;secundario
X2327;bom;maior45;sim;46;secundario
X2328;bom;25a45;nao;53;secundario
X2329;bom;25a45;nao;90;secundario
X2330;bom;maior45;nao;64;secundario
X2331;bom;maior45;nao;72;secundario
X2332;bom;25a45;sim;72;secundario
X2333;bom;maior45;sim;86;secundario
X2334;bom;25a45;sim;77;secundario
X2335;bom;25a45;sim;99;secundario
X2336;bom;menor25;sim;99;superior
X2337;bom;25a45;nao;78;secundario
X2338;bom;25a45;nao;69;secundario
X2339;bom;maior45;nao;77;secundario
X2340;bom;25a45;sim;88;superior
X2341;bom;25a45;sim;83;secundario
X2342;bom;25a45;nao;80;secundario
X2343;bom;menor25;nao;96;secundario
X2344;bom;maior45;nao;60;secundario
X2345;bom;menor25;nao;92;secundario
X2346;bom;menor25;nao;92;secundario
X2347;bom;maior45;sim;50;superior
X2348;bom;25a45;nao;70;secundario
X2349;bom;25a45;nao;80;secundario
X2350;bom;maior45;nao;59;secundario
X2351;bom;25a45;nao;83;secundario
X2352;bom;25a45;sim;84;secundario
X2353;bom;25a45;sim;96;secundario
X2354;bom;menor25;nao;87;secundario
X2355;bom;25a45;nao;72;secundario
X2356;bom;menor25;sim;99;secundario
X2357;bom;maior45;nao;76;secundario
X2358;bom;maior45;nao;74;secundario
X2359;bom;maior45;sim;85;superior
X2360;bom;maior45;nao;78;secundario
X2361;bom;maior45;sim;53;secundario
X2362;bom;25a45;sim;51;superior
X2363;bom;menor25;sim;99;secundario
X2364;bom;25a45;nao;79;secundario
X2365;bom;25a45;sim;83;secundario
X2366;bom;menor25;nao;97;secundario
X2367;bom;25a45;nao;64;secundario
X2368;bom;menor25;nao;94;superior
X2369;bom;25a45;nao;91;secundario
X2370;bom;25a45;sim;83;secundario
X2371;bom;25a45;nao;79;secundario
X2372;bom;25a45;nao;91;superior
X2373;bom;maior45;sim;71;secundario
X2374;bom;25a45;sim;79;secundario
X2375;bom;25a45;nao;77;secundario
X2376;bom;25a45;nao;62;superior
X2377;bom;25a45;sim;93;superior
X2378;bom;menor25;sim;91;secundario
X2379;bom;25a45;nao;53;secundario
X2380;bom;25a45;sim;80;secundario
X2381;bom;maior45;sim;89;secundario
X2382;bom;25a45;sim;71;secundario
X2383;bom;25a45;sim;86;secundario
X2384;bom;25a45;sim;86;secundario
X2385;bom;maior45;nao;78;secundario
X2386;bom;25a45;nao;74;secundario
X2387;bom;25a45;nao;78;superior
X2388;bom;menor25;nao;96;secundario
X2389;bom;maior45;sim;79;secundario
X2390;bom;25a45;sim;87;superior
X2391;bom;25a45;nao;57;secundario
X2392;bom;maior45;nao;76;secundario
X2393;bom;maior45;nao;56;secundario
X2394;bom;25a45;sim;97;secundario
X2395;bom;25a45;sim;89;secundario
X2396;bom;25a45;nao;79;secundario
X2397;bom;maior45;sim;66;secundario
X2398;bom;maior45;sim;57;superior
X2399;bom;25a45;nao;74;secundario
X2400;bom;25a45;sim;87;secundario
X2401;bom;maior45;sim;32;secundario
X2402;bom;25a45;nao;68;secundario
X2403;bom;25a45;sim;64;secundario
X2404;bom;25a45;sim;59;secundario
X2405;bom;maior45;sim;62;secundario
X2406;bom;25a45;sim;78;secundario
X2407;bom;menor25;nao;98;secundario
X2408;bom;maior45;nao;65;superior
X2409;bom;25a45;nao;68;secundario
X2410;bom;25a45;nao;81;secundario
X2411;bom;25a45;nao;77;superior
