IDENTIDADE;ALVO;STATUS;UF;ESCOLARIDADE;ESTCIV;RENDA;NATUREZA
MC3172;0;inad;SP;secundario;solt;1747;func_publico
MC3173;0;inad;SP;secundario;solt;4979;func_publico
MC3174;1;admpl;SP;superior;solt;1642;empregado
MC3175;0;inad;SP;secundario;solt;6432;empregado
MC3176;0;inad;SP;secundario;solt;12060;outros
MC3177;0;inad;SP;superior;divorciado;2680;empregado
MC3178;0;inad;SP;secundario;casado;4020;autonomo
MC3179;0;inad;SP;secundario;solt;1731;func_publico
MC3180;1;admpl;SP;secundario;casado;1968;func_publico
MC3181;0;inad;SP;primario;solt;1372;empregado
MC3182;1;admpl;SP;superior;solt;2814;empregado
MC3183;1;admpl;SP;superior;solt;175;func_publico
MC3184;0;inad;SP;superior;solt;4860;empregado
MC3185;1;admpl;SP;superior;solt;1005;outros
MC3186;1;admpl;SP;secundario;solt;1469;empresario
MC3187;0;inad;SP;secundario;casado;4362;empregado
MC3188;0;inad;SP;secundario;solt;1340;aposentado
MC3189;1;admpl;SP;posgrad;solt;12496;empregado
MC3190;1;admpl;SP;primario;solt;6218;empregado
MC3191;1;admpl;SP;superior;solt;4523;empregado
MC3192;0;inad;SP;superior;solt;1340;empresario
MC3193;0;inad;SP;secundario;casado;4618;func_publico
MC3194;0;inad;SP;secundario;solt;16552;empregado
MC3195;0;inad;SP;secundario;solt;18563;func_publico
MC3196;1;admpl;SP;superior;solt;1882;func_publico
MC3197;0;inad;SP;secundario;casado;12761;empregado
MC3198;0;inad;SP;secundario;solt;2447;outros
MC3199;0;inad;SP;superior;solt;2646;outros
MC3200;1;admpl;SP;secundario;casado;4020;empregado
MC3201;1;admpl;SP;secundario;solt;5092;empregado
MC3202;0;inad;SP;primario;divorciado;6820;empregado
MC3203;1;admpl;SP;superior;solt;786;empregado
MC3204;0;inad;SP;secundario;viuvo;4690;empregado
MC3205;1;admpl;SP;posgrad;solt;5245;empregado
MC3206;1;admpl;SP;posgrad;solt;7988;empregado
MC3207;0;inad;SP;superior;solt;877;aposentado
MC3208;0;inad;MG;superior;solt;2010;func_publico
MC3209;1;admpl;SP;superior;solt;4035;empregado
MC3210;1;admpl;SP;superior;solt;1179;empregado
MC3211;1;admpl;SP;superior;solt;804;autonomo
MC3212;0;inad;SP;posgrad;solt;2148;empregado
MC3213;1;admpl;SP;primario;solt;3350;empregado
MC3214;1;admpl;SP;primario;casado;420;empregado
MC3215;1;admpl;SP;posgrad;solt;9312;empregado
MC3216;0;inad;SP;superior;solt;2468;aposentado
MC3217;0;inad;SP;primario;solt;1295;empregado
MC3218;0;inad;MG;secundario;solt;13678;empregado
MC3219;1;admpl;SP;superior;solt;2235;func_publico
MC3220;0;inad;SP;secundario;solt;5216;empregado
MC3221;1;admpl;SP;posgrad;casado;4020;empregado
MC3222;0;inad;SP;primario;solt;2680;aposentado
MC3223;0;inad;SP;superior;solt;5543;aposentado
MC3224;0;inad;SP;secundario;solt;1416;aposentado
MC3225;0;inad;SP;posgrad;solt;10452;outros
MC3226;0;inad;SP;secundario;solt;1336;empregado
MC3227;1;admpl;MG;secundario;solt;13400;empregado
MC3228;1;admpl;SP;primario;solt;536;empregado
MC3229;1;admpl;SP;superior;solt;1608;func_publico
MC3230;0;inad;SP;secundario;divorciado;2457;aposentado
MC3231;1;admpl;SP;secundario;solt;5259;empresario
MC3232;0;inad;SP;secundario;solt;2078;func_publico
MC3233;1;admpl;SP;superior;solt;1491;func_publico
MC3234;0;inad;SP;secundario;casado;3260;func_publico
MC3235;0;inad;SP;superior;solt;1388;aposentado
MC3236;0;inad;SP;secundario;solt;19914;func_publico
MC3237;0;inad;SP;primario;solt;451;func_publico
MC3238;0;inad;SP;secundario;solt;11893;func_publico
MC3239;0;inad;SP;superior;solt;3372;aposentado
MC3240;1;admpl;SP;superior;solt;1526;empregado
MC3241;1;admpl;SP;primario;solt;970;empregado
MC3242;0;inad;SP;secundario;solt;10583;func_publico
MC3243;1;admpl;SP;primario;solt;938;empregado
MC3244;1;admpl;SP;secundario;solt;16080;empregado
MC3245;1;admpl;SP;secundario;solt;1340;empregado
MC3246;0;inad;SP;secundario;solt;6030;outros
MC3247;0;inad;SP;secundario;solt;2100;func_publico
MC3248;0;inad;SP;secundario;solt;35113;empregado
MC3249;1;admpl;SP;secundario;solt;7633;func_publico
MC3250;0;inad;SP;secundario;casado;4020;empregado
MC3251;0;inad;SP;secundario;solt;16790;empregado
MC3252;0;inad;SP;superior;solt;4020;empregado
MC3253;0;inad;SP;superior;solt;1990;empregado
MC3254;0;inad;SP;primario;casado;9380;empregado
MC3255;0;inad;SP;secundario;solt;10007;empregado
MC3256;0;inad;SP;primario;solt;531;empregado
MC3257;0;inad;SP;secundario;solt;876;aposentado
MC3258;0;inad;SP;secundario;solt;8415;aposentado
MC3259;0;inad;SP;secundario;solt;21163;outros
MC3260;1;admpl;SP;superior;solt;1340;outros
MC3261;1;admpl;SP;superior;solt;3800;func_publico
MC3262;0;inad;SP;secundario;solt;5360;empregado
MC3263;0;inad;SP;primario;divorciado;911;outros
MC3264;1;admpl;SP;secundario;viuvo;3094;empregado
MC3265;0;inad;SP;secundario;solt;1340;empregado
MC3266;0;inad;SP;superior;solt;1340;outros
MC3267;1;admpl;SP;secundario;viuvo;3082;vivederenda
MC3268;1;admpl;SP;secundario;solt;3463;func_publico
MC3269;0;inad;SP;primario;viuvo;2205;outros
MC3270;0;inad;SP;primario;divorciado;2697;aposentado
MC3271;1;admpl;SP;secundario;solt;10452;empresario
MC3272;1;admpl;SP;primario;casado;2680;empregado
MC3273;1;admpl;SP;superior;casado;8666;func_publico
MC3274;1;admpl;SP;superior;solt;6700;autonomo
MC3275;1;admpl;SP;secundario;solt;2744;func_publico
MC3276;0;inad;SP;secundario;solt;11562;empregado
MC3277;1;admpl;SP;superior;casado;1086;empregado
MC3278;1;admpl;SP;superior;solt;3313;empregado
MC3279;1;admpl;SP;secundario;solt;2010;empregado
MC3280;1;admpl;SP;secundario;solt;2680;empregado
MC3281;1;admpl;SP;primario;casado;2412;func_publico
MC3282;1;admpl;SP;secundario;solt;3456;empregado
MC3283;1;admpl;SP;superior;casado;469;aposentado
MC3284;1;admpl;SP;secundario;solt;5360;empregado
MC3285;1;admpl;SP;superior;casado;1248;func_publico
MC3286;0;inad;SP;primario;casado;1876;empregado
MC3287;1;admpl;SP;superior;casado;1005;outros
MC3288;1;admpl;SP;superior;divorciado;804;outros
MC3289;1;admpl;SP;superior;casado;5629;empregado
MC3290;1;admpl;SP;primario;solt;147858;outros
MC3291;1;admpl;SP;superior;casado;582;func_publico
MC3292;1;admpl;SP;primario;solt;43;empregado
MC3293;0;inad;SP;secundario;solt;2680;outros
MC3294;1;admpl;SP;posgrad;solt;2680;autonomo
MC3295;1;admpl;SP;secundario;solt;790;empregado
MC3296;1;admpl;SP;secundario;casado;4958;empregado
MC3297;0;inad;SP;superior;divorciado;3350;aposentado
MC3298;1;admpl;SP;secundario;solt;1340;autonomo
MC3299;1;admpl;SP;superior;solt;2680;outros
MC3300;1;admpl;SP;secundario;casado;1608;empregado
MC3301;1;admpl;SP;superior;casado;753;func_publico
MC3302;1;admpl;SP;superior;solt;1929;empregado
MC3303;1;admpl;SP;primario;solt;137;empregado
MC3304;1;admpl;SP;secundario;casado;1212;empregado
MC3305;1;admpl;SP;secundario;viuvo;1340;func_publico
MC3306;1;admpl;SP;primario;solt;1264;empregado
MC3307;0;inad;SP;secundario;solt;1295;func_publico
MC3308;1;admpl;SP;superior;solt;3693;empregado
MC3309;1;admpl;SP;primario;solt;240917;outros
MC3310;0;inad;SP;superior;solt;1322;empregado
MC3311;1;admpl;SP;secundario;solt;680;func_publico
MC3312;1;admpl;SP;primario;solt;1340;autonomo
MC3313;0;inad;SP;secundario;solt;956;func_publico
MC3314;0;inad;SP;secundario;casado;3082;aposentado
MC3315;1;admpl;SP;superior;divorciado;1488;func_publico
MC3316;1;admpl;SP;secundario;solt;15585;func_publico
MC3317;0;inad;SP;posgrad;divorciado;1861;vivederenda
MC3318;0;inad;SP;superior;solt;10919;empregado
MC3319;0;inad;SP;secundario;solt;3098;prof_liberal
MC3320;0;inad;SP;secundario;viuvo;4020;aposentado
MC3321;0;inad;SP;secundario;solt;4677;empregado
MC3322;1;admpl;SP;secundario;solt;9339;empregado
MC3323;1;admpl;SP;primario;solt;2010;empregado
MC3324;1;admpl;SP;superior;solt;2010;outros
MC3325;1;admpl;SP;secundario;casado;4380;empregado
MC3326;1;admpl;SP;superior;solt;2010;empregado
MC3327;1;admpl;SP;posgrad;solt;8978;outros
MC3328;0;inad;SP;secundario;solt;804;outros
MC3329;1;admpl;SP;secundario;solt;3755;func_publico
MC3330;0;inad;SP;secundario;solt;253203;prof_liberal
MC3331;1;admpl;SP;superior;divorciado;12060;aposentado
MC3332;0;inad;SP;superior;casado;962;empregado
MC3333;0;inad;SP;secundario;solt;1478;empregado
MC3334;1;admpl;SP;posgrad;solt;5360;empregado
MC3335;1;admpl;SP;superior;casado;1333;empregado
MC3336;1;admpl;SP;superior;solt;1067;func_publico
MC3337;1;admpl;SP;primario;solt;1413;empregado
MC3338;1;admpl;SP;superior;solt;1282;empregado
MC3339;1;admpl;SP;superior;solt;1337;empregado
MC3340;0;inad;SP;superior;solt;8040;outros
MC3341;1;admpl;SP;posgrad;solt;2948;empregado
MC3342;1;admpl;SP;superior;casado;1363;empregado
MC3343;1;admpl;SP;primario;solt;1742;outros
MC3344;0;inad;SP;secundario;divorciado;2736;outros
MC3345;1;admpl;SP;superior;solt;3469;empregado
MC3346;1;admpl;SP;primario;solt;680;empregado
MC3347;1;admpl;SP;primario;casado;1118;outros
MC3348;1;admpl;SP;superior;solt;3809;empregado
MC3349;0;inad;SP;primario;casado;637;outros
MC3350;1;admpl;SP;primario;casado;6700;outros
MC3351;1;admpl;SP;secundario;solt;4690;outros
MC3352;1;admpl;SP;superior;casado;4256;empregado
MC3353;1;admpl;SP;secundario;solt;12144;empregado
MC3354;1;admpl;SP;secundario;divorciado;2278;outros
MC3355;0;inad;SP;primario;solt;1371;empregado
MC3356;1;admpl;SP;superior;casado;1608;empregado
MC3357;1;admpl;SP;primario;solt;2010;empregado
MC3358;1;admpl;SP;primario;solt;904;empregado
MC3359;0;inad;SP;superior;solt;766;func_publico
MC3360;1;admpl;SP;posgrad;casado;670;outros
MC3361;1;admpl;SP;secundario;solt;2599;func_publico
MC3362;1;admpl;SP;primario;solt;1340;outros
MC3363;1;admpl;SP;primario;casado;505;empregado
MC3364;1;admpl;SP;secundario;solt;1407;func_publico
MC3365;0;inad;SP;primario;casado;919;func_publico
MC3366;1;admpl;SP;secundario;viuvo;10586;outros
MC3367;1;admpl;SP;superior;casado;3748;empregado
MC3368;1;admpl;SP;superior;casado;2260;empregado
MC3369;1;admpl;SP;posgrad;solt;11835;func_publico
MC3370;1;admpl;SP;secundario;solt;4221;func_publico
MC3371;1;admpl;SP;superior;solt;2680;empregado
MC3372;0;inad;SP;secundario;solt;2445;outros
MC3373;1;admpl;SP;superior;solt;5360;empregado
MC3374;1;admpl;SP;superior;casado;1206;outros
MC3375;1;admpl;SP;primario;solt;670;autonomo
MC3376;0;inad;SP;primario;solt;1768;empregado
MC3377;0;inad;SP;primario;solt;18098;aposentado
MC3378;1;admpl;SP;secundario;solt;7939;empregado
MC3379;1;admpl;SP;primario;viuvo;1005;outros
MC3380;1;admpl;SP;secundario;solt;8710;func_publico
MC3381;1;admpl;SP;primario;casado;1177;empregado
MC3382;0;inad;SP;superior;divorciado;1900;aposentado
MC3383;1;admpl;SP;secundario;casado;3764;empregado
MC3384;1;admpl;SP;superior;solt;2010;empregado
MC3385;1;admpl;SP;secundario;viuvo;1340;prof_liberal
MC3386;1;admpl;SP;secundario;solt;3350;vivederenda
MC3387;1;admpl;SP;posgrad;solt;3161;func_publico
MC3388;1;admpl;SP;secundario;solt;2567;func_publico
MC3389;0;inad;SP;superior;divorciado;13400;empregado
MC3390;1;admpl;SP;superior;solt;1112;func_publico
MC3391;0;inad;SP;primario;solt;1937;empregado
MC3392;1;admpl;SP;secundario;casado;5775;empregado
MC3393;0;inad;SP;primario;solt;51;empregado
MC3394;1;admpl;SP;primario;viuvo;522;empregado
MC3395;1;admpl;SP;superior;solt;1340;empregado
MC3396;0;inad;SP;secundario;solt;9575;empregado
MC3397;0;inad;SP;secundario;viuvo;1685;outros
MC3398;0;inad;SP;primario;casado;808;aposentado
MC3399;1;admpl;SP;superior;solt;4020;outros
MC3400;0;inad;SP;secundario;solt;2117;func_publico
MC3401;1;admpl;SP;primario;viuvo;670;empregado
MC3402;1;admpl;SP;primario;solt;3484;empregado
MC3403;1;admpl;SP;posgrad;casado;4020;autonomo
MC3404;1;admpl;SP;superior;solt;2010;empregado
MC3405;1;admpl;SP;secundario;solt;3485;empregado
MC3406;0;inad;SP;posgrad;casado;2010;empregado
MC3407;0;inad;SP;posgrad;solt;58;func_publico
MC3408;0;inad;SP;primario;solt;469;aposentado
MC3409;0;inad;SP;secundario;solt;8064;outros
MC3410;1;admpl;SP;superior;solt;1340;empregado
MC3411;1;admpl;SP;posgrad;solt;4557;empregado
MC3412;1;admpl;SP;superior;solt;1072;empregado
MC3413;1;admpl;SP;superior;solt;4020;empregado
MC3414;1;admpl;SP;posgrad;casado;1331;func_publico
MC3415;0;inad;SP;secundario;solt;3760;func_publico
MC3416;1;admpl;SP;superior;outros;1340;outros
MC3417;0;inad;SP;primario;solt;536;outros
MC3418;1;admpl;SP;secundario;casado;18324;empregado
MC3419;1;admpl;SP;superior;solt;1033;outros
MC3420;1;admpl;SP;superior;solt;848;outros
MC3421;1;admpl;SP;superior;solt;824;empregado
MC3422;1;admpl;SP;secundario;casado;3230;func_publico
MC3423;1;admpl;SP;superior;casado;2680;vivederenda
MC3424;1;admpl;SP;superior;solt;2010;outros
MC3425;0;inad;SP;secundario;solt;634;empregado
MC3426;1;admpl;SP;superior;solt;2809;outros
MC3427;0;inad;SP;primario;viuvo;1357;aposentado
MC3428;0;inad;SP;superior;solt;2844;empregado
MC3429;1;admpl;SP;secundario;solt;8710;vivederenda
MC3430;1;admpl;SP;secundario;solt;9945;func_publico
MC3431;1;admpl;SP;superior;solt;4690;autonomo
MC3432;1;admpl;SP;superior;casado;8710;func_publico
MC3433;1;admpl;SP;secundario;casado;4797;func_publico
MC3434;0;inad;SP;secundario;solt;22297;prof_liberal
MC3435;1;admpl;SP;secundario;solt;20100;prof_liberal
MC3436;1;admpl;SP;secundario;solt;2680;outros
MC3437;1;admpl;SP;primario;casado;242;outros
MC3438;0;inad;SP;primario;solt;321;aposentado
MC3439;0;inad;MG;secundario;solt;241;func_publico
MC3440;1;admpl;SP;secundario;outros;1340;func_publico
MC3441;0;inad;SP;secundario;casado;3049;func_publico
MC3442;0;inad;SP;primario;solt;1387;empregado
MC3443;1;admpl;SP;secundario;solt;6566;prof_liberal
MC3444;0;inad;SP;secundario;casado;1565;func_publico
MC3445;0;inad;SP;primario;viuvo;486;empregado
MC3446;0;inad;SP;secundario;solt;2702;empregado
MC3447;1;admpl;SP;superior;solt;1390;outros
MC3448;1;admpl;SP;superior;solt;6700;empresario
MC3449;0;inad;SP;secundario;viuvo;7601;empregado
MC3450;0;inad;SP;secundario;solt;8996;empregado
MC3451;0;inad;SP;primario;solt;3819;vivederenda
MC3452;0;inad;SP;secundario;casado;6075;func_publico
MC3453;1;admpl;SP;secundario;casado;1608;func_publico
MC3454;0;inad;SP;superior;solt;1474;aposentado
MC3455;0;inad;SP;secundario;solt;12314;empregado
MC3456;0;inad;SP;secundario;solt;7189;empregado
MC3457;1;admpl;SP;secundario;viuvo;23305;func_publico
MC3458;0;inad;SP;primario;solt;758;aposentado
MC3459;1;admpl;SP;secundario;solt;1340;outros
MC3460;1;admpl;SP;posgrad;solt;3826;empregado
MC3461;1;admpl;SP;superior;casado;2181;empregado
MC3462;0;inad;SP;superior;solt;531;empregado
MC3463;0;inad;SP;secundario;casado;4135;empregado
MC3464;1;admpl;SP;secundario;casado;4111;empregado
MC3465;1;admpl;SP;primario;solt;938;outros
MC3466;1;admpl;SP;superior;viuvo;5042;outros
MC3467;0;inad;SP;primario;solt;2680;func_publico
MC3468;1;admpl;SP;secundario;solt;2010;autonomo
MC3469;1;admpl;SP;secundario;solt;3049;empregado
MC3470;0;inad;SP;secundario;solt;1654;func_publico
MC3471;1;admpl;SP;superior;casado;804;autonomo
MC3472;1;admpl;SP;secundario;solt;5360;empregado
MC3473;0;inad;SP;secundario;casado;4013;empregado
MC3474;1;admpl;SP;secundario;solt;4113;empregado
MC3475;1;admpl;SP;superior;solt;1562;empregado
MC3476;1;admpl;SP;primario;solt;3443;vivederenda
MC3477;1;admpl;SP;secundario;solt;10138;func_publico
MC3478;1;admpl;SP;primario;solt;1376;empregado
MC3479;1;admpl;SP;primario;solt;1018;empregado
MC3480;1;admpl;SP;superior;casado;1579;func_publico
MC3481;0;inad;SP;primario;divorciado;52340;aposentado
MC3482;0;inad;SP;superior;solt;938;outros
MC3483;1;admpl;SP;primario;solt;999;outros
MC3484;0;inad;MG;secundario;solt;10422;empregado
MC3485;1;admpl;SP;secundario;solt;2840;outros
MC3486;0;inad;MG;superior;solt;3295;empregado
MC3487;1;admpl;SP;primario;solt;750;empregado
MC3488;1;admpl;SP;superior;casado;2024;empregado
MC3489;0;inad;SP;primario;divorciado;1157;aposentado
MC3490;0;inad;SP;superior;solt;2680;empresario
MC3491;0;inad;SP;secundario;casado;2860;func_publico
MC3492;1;admpl;SP;secundario;solt;6027;empregado
MC3493;1;admpl;SP;primario;casado;902;empregado
MC3494;1;admpl;SP;superior;casado;2412;vivederenda
MC3495;1;admpl;SP;secundario;viuvo;6908;empregado
MC3496;1;admpl;SP;secundario;casado;10555;empregado
MC3497;1;admpl;SP;secundario;casado;16600;func_publico
MC3498;0;inad;SP;secundario;solt;5360;empresario
MC3499;1;admpl;SP;secundario;solt;816;empregado
MC3500;1;admpl;SP;secundario;solt;1337;func_publico
MC3501;0;inad;SP;secundario;solt;2240;empregado
MC3502;1;admpl;SP;secundario;casado;8953;vivederenda
MC3503;1;admpl;SP;superior;solt;804;empregado
MC3504;1;admpl;SP;secundario;casado;4020;empregado
MC3505;1;admpl;SP;secundario;divorciado;1876;aposentado
MC3506;0;inad;SP;primario;casado;723;func_publico
MC3507;0;inad;SP;secundario;solt;180;empregado
MC3508;0;inad;PR;primario;solt;6700;aposentado
MC3509;1;admpl;SP;superior;casado;327;empregado
MC3510;0;inad;SP;superior;solt;1310;func_publico
MC3511;1;admpl;SP;primario;solt;1608;func_publico
MC3512;1;admpl;SP;superior;solt;1241;empregado
MC3513;1;admpl;SP;secundario;solt;2278;outros
MC3514;1;admpl;SP;superior;casado;2622;func_publico
MC3515;1;admpl;SP;secundario;solt;20100;vivederenda
MC3516;1;admpl;SP;primario;solt;570;empregado
MC3517;1;admpl;SP;secundario;solt;6432;outros
MC3518;0;inad;SP;secundario;solt;1808;func_publico
MC3519;0;inad;SP;secundario;viuvo;1183;aposentado
MC3520;0;inad;SP;superior;outros;1411;outros
MC3521;1;admpl;SP;primario;solt;197;empresario
MC3522;1;admpl;SP;secundario;solt;5715;empregado
MC3523;1;admpl;SP;secundario;casado;1503;func_publico
MC3524;0;inad;SP;primario;viuvo;268;empregado
MC3525;1;admpl;SP;superior;outros;2870;empregado
MC3526;0;inad;SP;secundario;divorciado;1265;empregado
MC3527;1;admpl;SP;secundario;solt;3566;func_publico
MC3528;0;inad;SP;secundario;solt;2680;empresario
MC3529;0;inad;SP;superior;divorciado;3119;aposentado
MC3530;0;inad;SP;superior;divorciado;5520;aposentado
MC3531;1;admpl;SP;secundario;casado;670;outros
MC3532;0;inad;SP;secundario;casado;2295;func_publico
MC3533;1;admpl;SP;secundario;solt;3660;empregado
MC3534;1;admpl;SP;secundario;viuvo;1608;autonomo
MC3535;1;admpl;SP;primario;solt;356;empregado
MC3536;0;inad;SP;primario;solt;510;empregado
MC3537;1;admpl;SP;superior;solt;5812;empregado
MC3538;1;admpl;SP;primario;solt;629;empregado
MC3539;0;inad;SP;superior;viuvo;1072;outros
MC3540;0;inad;SP;secundario;solt;4020;func_publico
MC3541;1;admpl;SP;secundario;solt;10174;empregado
MC3542;1;admpl;SP;primario;solt;241200;outros
MC3543;1;admpl;SP;superior;casado;1298;outros
MC3544;1;admpl;SP;primario;solt;1219;empregado
MC3545;1;admpl;SP;primario;solt;1567;aposentado
MC3546;1;admpl;SP;primario;casado;1543;empregado
MC3547;1;admpl;SP;primario;solt;4958;outros
MC3548;0;inad;SP;superior;solt;967;empregado
MC3549;1;admpl;SP;superior;casado;6941;empregado
MC3550;0;inad;SP;secundario;solt;4509;empregado
MC3551;0;inad;SP;superior;solt;2125;func_publico
MC3552;1;admpl;SP;secundario;solt;7153;empregado
MC3553;1;admpl;SP;secundario;solt;3350;outros
MC3554;0;inad;SP;superior;solt;3350;aposentado
MC3555;1;admpl;SP;secundario;solt;3429;func_publico
MC3556;0;inad;SP;primario;casado;3432;empregado
MC3557;1;admpl;SP;superior;solt;495;func_publico
MC3558;1;admpl;SP;secundario;casado;3323;func_publico
MC3559;1;admpl;SP;secundario;casado;3216;vivederenda
MC3560;1;admpl;SP;secundario;solt;1340;outros
MC3561;1;admpl;SP;secundario;solt;7772;outros
MC3562;0;inad;SP;secundario;solt;1768;empregado
MC3563;1;admpl;SP;posgrad;casado;4547;empregado
MC3564;1;admpl;SP;posgrad;solt;802;outros
MC3565;1;admpl;SP;superior;solt;1257;empregado
MC3566;1;admpl;SP;superior;solt;2383;outros
MC3567;0;inad;SP;secundario;solt;3001;empregado
MC3568;1;admpl;SP;superior;casado;612;empregado
MC3569;1;admpl;SP;posgrad;solt;2658;func_publico
MC3570;0;inad;SP;secundario;solt;3350;outros
MC3571;1;admpl;SP;superior;casado;1340;autonomo
MC3572;1;admpl;SP;primario;solt;931;outros
MC3573;1;admpl;SP;primario;casado;545;empregado
MC3574;1;admpl;SP;secundario;solt;2097;empresario
MC3575;1;admpl;SP;secundario;casado;1775;empregado
MC3576;1;admpl;SP;superior;casado;737;empregado
MC3577;1;admpl;SP;posgrad;solt;706;func_publico
MC3578;0;inad;SP;secundario;solt;7165;empregado
MC3579;0;inad;SP;secundario;casado;1243;empregado
MC3580;0;inad;SP;superior;solt;1064;func_publico
MC3581;1;admpl;SP;primario;casado;4020;empregado
MC3582;0;inad;SP;primario;solt;1768;aposentado
MC3583;0;inad;SP;secundario;solt;1794;func_publico
MC3584;0;inad;SP;superior;solt;4020;aposentado
MC3585;0;inad;SP;secundario;viuvo;11574;empregado
MC3586;1;admpl;MG;secundario;casado;2680;func_publico
MC3587;0;inad;SP;secundario;divorciado;6700;outros
MC3588;0;inad;SP;secundario;solt;3261;func_publico
MC3589;0;inad;SP;secundario;solt;8812;empregado
MC3590;0;inad;SP;superior;divorciado;1553;aposentado
MC3591;0;inad;SP;secundario;solt;14740;func_publico
MC3592;0;inad;SP;primario;solt;1072;aposentado
MC3593;1;admpl;SP;superior;solt;1859;empregado
MC3594;1;admpl;SP;superior;casado;1176;empregado
MC3595;0;inad;SP;secundario;solt;6780;outros
MC3596;1;admpl;SP;superior;solt;1066;empregado
MC3597;0;inad;SP;secundario;solt;678;aposentado
MC3598;1;admpl;SP;primario;solt;844;empregado
MC3599;1;admpl;SP;superior;solt;1340;outros
MC3600;0;inad;SP;superior;solt;1206;empregado
MC3601;0;inad;SP;superior;solt;17267;func_publico
MC3602;0;inad;SP;primario;solt;655;outros
MC3603;1;admpl;SP;secundario;solt;5692;func_publico
MC3604;1;admpl;SP;primario;divorciado;1267;empregado
MC3605;1;admpl;SP;secundario;solt;258;empregado
MC3606;0;inad;SP;secundario;solt;5622;func_publico
MC3607;0;inad;SP;primario;solt;718;empregado
MC3608;0;inad;SP;secundario;solt;2128;func_publico
MC3609;1;admpl;SP;superior;solt;725;empregado
MC3610;0;inad;MG;secundario;solt;1389;prof_liberal
MC3611;1;admpl;SP;primario;solt;3293;empregado
MC3612;1;admpl;SP;superior;outros;1362;empregado
MC3613;0;inad;SP;secundario;casado;28938;vivederenda
MC3614;0;inad;SP;secundario;solt;1817;empregado
MC3615;1;admpl;SP;secundario;solt;9134;func_publico
MC3616;0;inad;SP;secundario;casado;766;empregado
MC3617;1;admpl;SP;primario;casado;471;outros
MC3618;1;admpl;SP;secundario;solt;13400;func_publico
MC3619;1;admpl;MG;secundario;casado;2277;outros
MC3620;1;admpl;SP;secundario;casado;31669;empregado
MC3621;1;admpl;SP;secundario;solt;13400;empregado
MC3622;1;admpl;SP;primario;casado;759;empregado
MC3623;0;inad;SP;secundario;solt;10330;func_publico
MC3624;1;admpl;SP;primario;solt;1340;empregado
MC3625;0;inad;SP;secundario;solt;1340;empregado
MC3626;1;admpl;SP;secundario;casado;32398;func_publico
MC3627;0;inad;SP;secundario;solt;3097;func_publico
MC3628;1;admpl;SP;superior;solt;804;func_publico
MC3629;1;admpl;SP;secundario;casado;652;empregado
MC3630;0;inad;SP;primario;viuvo;4020;outros
MC3631;1;admpl;SP;secundario;solt;507;empregado
MC3632;1;admpl;SP;secundario;casado;1634;vivederenda
MC3633;0;inad;SP;secundario;solt;25460;empregado
MC3634;0;inad;SP;primario;viuvo;696;empregado
MC3635;0;inad;MG;superior;solt;6700;empregado
MC3636;1;admpl;SP;secundario;solt;2680;empresario
MC3637;1;admpl;SP;secundario;solt;4288;empregado
MC3638;0;inad;SP;secundario;casado;16080;outros
MC3639;1;admpl;MG;secundario;solt;12784;func_publico
MC3640;1;admpl;SP;secundario;solt;4943;func_publico
MC3641;1;admpl;SP;secundario;solt;10042;func_publico
MC3642;0;inad;SP;superior;solt;1;empregado
MC3643;1;admpl;SP;secundario;solt;3484;empregado
MC3644;1;admpl;SP;secundario;solt;5895;empregado
MC3645;1;admpl;SP;secundario;solt;4020;outros
MC3646;1;admpl;SP;secundario;solt;1852;func_publico
MC3647;0;inad;SP;superior;solt;995;empregado
MC3648;0;inad;SP;secundario;solt;7550;outros
MC3649;1;admpl;SP;secundario;solt;7223;empregado
MC3650;1;admpl;SP;secundario;casado;10569;empregado
MC3651;1;admpl;SP;secundario;casado;1615;func_publico
MC3652;1;admpl;SP;secundario;casado;3439;func_publico
MC3653;0;inad;SP;superior;viuvo;4845;vivederenda
MC3654;0;inad;SP;superior;solt;1739;aposentado
MC3655;0;inad;SP;superior;casado;1802;aposentado
MC3656;0;inad;SP;secundario;solt;4020;empregado
MC3657;0;inad;SP;secundario;solt;1486;empregado
MC3658;1;admpl;MG;secundario;casado;883;empregado
MC3659;0;inad;SP;superior;solt;11418;empregado
MC3660;0;inad;SP;secundario;solt;5360;empregado
MC3661;0;inad;SP;primario;solt;1189;func_publico
MC3662;0;inad;SP;secundario;solt;4690;aposentado
MC3663;0;inad;SP;posgrad;solt;67000;outros
MC3664;0;inad;SP;secundario;solt;40629;empregado
MC3665;1;admpl;SP;primario;casado;670;empregado
MC3666;0;inad;SP;superior;casado;5360;aposentado
MC3667;0;inad;SP;secundario;solt;1405;empregado
MC3668;0;inad;SP;posgrad;solt;13400;empregado
MC3669;1;admpl;MG;secundario;casado;2010;empregado
MC3670;0;inad;SP;superior;solt;3752;aposentado
MC3671;0;inad;SP;secundario;solt;2324;func_publico
MC3672;1;admpl;SP;secundario;solt;670;autonomo
MC3673;0;inad;SP;superior;divorciado;1582;aposentado
MC3674;1;admpl;SP;secundario;casado;5360;empregado
MC3675;1;admpl;SP;superior;solt;3701;func_publico
MC3676;1;admpl;SP;superior;outros;3360;empregado
MC3677;1;admpl;SP;secundario;solt;2353;empregado
MC3678;1;admpl;SP;superior;solt;359;empregado
MC3679;1;admpl;SP;superior;casado;1069;outros
